Age,Mean_Catchment_Area,Median_Catchment_Area,Std-Dev_Catchment_Area,Skewness_Catchment,Land_Area,Polar_Land_Area,Temperate_Land_Area,Subtropical_Land_Area,Tropical_Land_Area,Northern_Land_Area,Southern_Land_Area,High_Altitude_Area,Continental_Shelves_Area,Ocean_Area,Ocean_Volume,Coastline_length,Continents_Number
0,328671535154.1771,17794670177.553516,1654018070920.959,12.523151718932962,160469936379805.38,34312822695010.52,37097888517911.99,36935437174998.94,52569954357066.07,107649756969624.6,52820179410180.766,995401859314.0472,16094879295368.447,349595689829131.25,1.336888589121948e+18,428139654.9246582,3
6,205475595651.0081,14495658290.703709,813715234101.5989,7.450624927559375,156952289977908.88,34469575744664.47,35586041343220.19,36364008328173.68,50984729160406.15,104287264096467.23,52665025881441.65,1656103967198.6045,18060390589530.69,353113336231027.75,1.3368637133726804e+18,441697727.3782656,4
11,244226208850.3633,14495658290.703709,863374629336.75,5.253361279062773,157373463828796.72,33972524620379.098,36095788664767.07,36320721293415.92,51461186452913.0,104664651062311.4,52708812766485.3,1319804694854.2783,18399588993533.16,352692162380139.94,1.3365192405484613e+18,452414233.6511766,5
15,97255426242.41087,14695598405.058245,245160824496.66528,4.453793321493459,160114742766654.53,34471175265579.305,36307225335696.99,38230149385501.72,51597745551017.15,107016946507692.5,53097796258962.04,2308808470508.9805,18272327110746.5,349950883442282.06,1.3364203517674225e+18,329026869.3624189,3
20,686092871194.5288,16894939662.958117,3278918754870.863,6.670564347343589,157928797496416.44,35508064698621.92,36542254940120.74,38508266084568.88,47847568796126.336,106479307540193.16,51449489956223.26,2574728822600.5103,19341106992028.66,352136828712520.2,1.336403870303916e+18,468726965.9086101,4
33,2117820159234.017,16994909720.135382,13336343839577.438,6.940206331792901,152850518531925.62,36207955068919.96,38099688460885.38,35690510052970.43,43315726164166.47,103053633590899.77,49796884941025.86,1911427493229.344,23883546450049.32,357215107677011.0,1.3362310708604444e+18,352663537.61867845,4
40,408187311546.062,14195748119.171907,3625041193913.1816,16.667314096172493,148159723509053.9,35103585847282.69,38317723155589.01,31025407334793.27,44136480333591.83,98457310272060.56,49702413236993.34,1547536485104.0923,25960724298078.57,361905902699882.8,1.335573040752248e+18,366819498.7436552,5
48,1888675986873.43,15195448690.944576,12973977598474.994,7.82830621414195,145424442774626.7,33517061039879.47,39158371366392.64,30130975233228.26,43035310153784.24,95193787755508.69,50230655019118.02,1687094684923.5571,28891846374516.035,364641183434309.94,1.334363854125301e+18,448112671.3481903,6
56,207028251961.36325,14495658290.703709,1089869692492.64,12.066793976052235,139340864915161.3,30825267280324.38,41358112504521.23,30191757027992.04,37417392820650.54,86417916286202.3,52922948628959.0,1575028250827.8408,31052199310116.773,370724761293775.3,1.334986976289052e+18,457630997.54134697,4
68,245500474326.8781,15495358862.476376,1065959001609.2688,6.13438374920899,135104333832103.08,28626925722996.28,40861061380235.85,28717898475027.6,37323021086675.2,81578665728422.33,53525668103680.74,1356893586067.0444,33537454931543.64,374961292376833.6,1.3317822017764206e+18,418825650.7899043,5
84,187580000640.5052,29241241724.350582,464721362349.0623,3.9042308844037583,98517292306366.9,23884146270392.38,28392295998801.234,19285423670180.92,27222346419655.68,56998327979847.46,41518964326519.445,1705789085615.706,66720915890622.56,411548333902569.7,1.32914905765025e+18,559831582.2433547,1
100,146922868969.1425,18244535434.85122,461099124757.48334,5.633935211364443,139968077053891.48,34078292940872.645,45035411087729.81,25315417578999.312,35899847352699.625,80811095629415.28,59156981424476.19,1345197089377.3042,31100884727962.105,370097549155045.2,1.3330051058947333e+18,537105437.7345563,4
113,606637122412.2622,32290328468.257225,3055037599871.703,22.132704621949003,104666250583226.23,24562942958626.023,31831465905813.57,19421882798227.89,29138972355858.24,61566959592848.56,43099290990377.69,1874438572073.756,62976437428990.85,405399375625710.4,1.3295170754223355e+18,693051200.7235593,3
120,326779330588.51776,18494460577.794388,1061845502746.3448,6.644042722356833,141098338520337.66,27746189519264.56,49296734744967.99,27356806146559.1,37109385074487.38,82806697910787.88,58291640609549.766,1323303646855.483,30465475044543.395,368967287688599.0,1.3306795816309038e+18,524593420.7281411,3
133,680755181231.9003,20993712007.22606,3054459815726.3896,8.469963690677531,154915699973093.6,30106382599162.65,52981830992636.41,32371404184627.99,39918143800939.88,85101610543349.22,69814089429744.375,848445875263.4646,21285924484355.21,355149926235843.0,1.331203815013616e+18,511709929.7292201,2
140,35989220583.8161,34689609840.511635,20262330117.96755,0.8834969625697144,171008679837375.7,30423387650471.77,57007625195164.95,44517566191551.57,39641626622787.56,88229473692311.55,82779206145064.12,760372254890.2925,13420180415590.67,339056946371560.94,1.3362765228467602e+18,444382636.4958319,2
154,423046444374.95154,15195448690.944576,1491885538443.907,5.754423251536371,168879617529671.44,24924734595550.55,56582152631818.5,47566652935458.21,40387203309215.61,87751716789061.39,81127900740610.03,968110033704.6532,15342204734880.805,341186008679265.2,1.3363602609656937e+18,391161594.9103448,2
165,763636454112.9111,14695598405.058245,3055250533729.756,7.529746770669074,177126547426452.88,26111978994587.773,57349622760768.38,47374210575391.98,46882457864137.0,95595067565018.22,81531479861434.66,1146656555823.252,11319409634067.582,332939078782483.75,1.3367769041735905e+18,332524872.646943,1
180,939044528817.6562,13945822976.22874,5429636605195.338,7.34346740963489,176111051585646.22,26975020498199.12,54572954422669.79,44385605716077.58,50750199406268.28,97316352009496.4,78794699576149.8,1682795972464.9346,12252930027988.902,333954574623290.44,1.3366902997131776e+18,320163029.2230909,1
